numCompra,anoCompra,uasg,iniVigencia,fimVigencia,numItem,descBreve,descDetalhada,unFornecimento,fornecedor,marca,valor,qtdUnidade
90013,2024,158127,30/09/2024,30/09/2025,2,435920 - Adaptador conector,"Tipo Conectores: Hdmi 19 Pinos / Vga 15 Pinos, Aplicação: Vídeo, Características Adicionais: Pequeno Tipo Tomada,",Unidade,42.810.782/0001-74 - MAX QUALITY COMERCIO LTDA,HDMI/VGA,"16,9000",10
90013,2024,158127,30/09/2024,30/09/2025,4,445782 - Adaptador,"Conexão: Hdmi Macho X Vga Fêmea, Características Adicionais: Resolução Mínima: 1080p, Aplicação: Uso Em Vídeo,",Unidade,36.310.930/0001-99 - Y S DIAS COMERCIO DE PAPELARIA,F3,"38,9000",5
90013,2024,158127,30/09/2024,30/09/2025,5,435888 - Adaptador conector,"Tipo Conectores: Hdmi 19 Pino Fêmea / Displayport 20 Pinos Macho, Aplicação: Vídeo, Características Adicionais: Resolução Até 1080p/ Tamanho Min.Cabo 15cm,",Unidade,42.810.782/0001-74 - MAX QUALITY COMERCIO LTDA,VGA/HDMI,"34,9000",20
90013,2024,158127,30/09/2024,30/09/2025,24,435791 - Cabo extensor,"Tipo: Blindado E Com Ferrite, Tipo Saída: Hdmi Macho X Hdmi Macho, Comprimento: 15 M, Padrão: Vga,",Unidade,42.810.782/0001-74 - MAX QUALITY COMERCIO LTDA,MARCA PRÓPRIA,"64,9000",10
90013,2024,158127,30/09/2024,30/09/2025,25,430400 - Cabo extensor,"Cabo Extensor Tipo: Blindado Reforçado , Tipo Saída: Hdmi Macho X Hdmi Macho 19 Pinos , Comprimento: 3 M, Material Condutor: Cobre , Material Cobertura: Pvc , Diâmetro Nominal: 26 AWG, Material Conector: Latão Banhado A Ouro",Unidade,42.810.782/0001-74 - MAX QUALITY COMERCIO LTDA,MARCA PRÓPRIA,"18,9000",5
90013,2024,158127,30/09/2024,30/09/2025,31,385479 - Memória em cartão magnético,"Memória Em Cartão Magnético Capacidade Memória: 32 GB, Tipo Cartao: Sdhc , Aplicação: Armazenar Fotos, Imagens E Dados",Unidade,28.254.793/0001-94 - R3 TECNOLOGIA LTDA,DSQUNC-032G-AN6MA,"32,0000",2
90013,2024,158127,30/09/2024,30/09/2025,34,344458 - Fone ouvido,"Tipo: Headset, Potência: 100 (Máxima) MW, Impedância: 32 OHM, Freqüência: (Microfone) 50hz-15khz; (Alto-Falante) 20hz-20 KHZ, Comprimento Fio: 3 M, Características Adicionais: Stéreo;Controle Volume Sem Distorções;Opção Voz Em, Modelo: Shm7500/00 (Philips), Aplicação: Computador, Tipo Microfone: Omnidirecional,",Unidade,09.087.468/0001-30 - TECNO TRADE COMERCIO E SERVICOS DE EQUIPAMENTOS ELETRONICOS E SONORIZACAO LTDA.,Pix Essential Flat,"70,0000",3
90013,2024,158127,30/09/2024,30/09/2025,43,346754 - Suporte fixação projetor,"Material: Aço Carbono, Tipo: Universal, Tratamento Superficial: Anticorrosivo, Acabamento Superficial: Pintura Eletrostática A Pó, Cor: Branca, Características Adicionais: Ajuste Incl Horiz/Vert 10°, Teto, Hastes Móveis E, Altura: 24 Ou 39 CM, Carga Máxima: 10 KG,",Unidade,27.813.226/0001-68 - PROJELITE SOLUCOES TECNOLOGICAS LTDA,Suporte fixação proj,"77,9000",10
90013,2024,158127,30/09/2024,30/09/2025,51,469578 - Caixa acústica,"Potência: 600 Watts Rms WRMS, Tamanho Alto-Falante: 1 X 15 POL, Resposta Freqüência: 40 Hz A 800 KHZ, Características Adicionais: Subwoofer Passivo Band Pass, Impedância Entrada: 8 OHM, Voltagem: Bivolt V,",Unidade,51.750.663/0001-64 - 51.750.663 THIERREZ MATHEUS ALVES SALES,Caixa acústica,"310,0000",15
90013,2024,158127,30/09/2024,30/09/2025,52,450440 - Caixa som,"Caixa Som Potência: 1 W, Voltagem: 110/220 V, Características Adicionais: Som Estéreo Com Controle De Volume",Unidade,51.750.663/0001-64 - 51.750.663 THIERREZ MATHEUS ALVES SALES,Caixa acústica,"180,0000",3
90013,2024,158127,30/09/2024,30/09/2025,53,259321 - Caixa acústica,"Potência: 300 W, Tamanho Alto-Falante: 6 POL, Resposta Freqüência: 62 Hz A 20 Khz, Tipo Tweeter: Titânio, Largura: 228 MM, Altura: 419 MM, Profundidade: 298 MM, Características Adicionais: Full Range Com 2 Vias, Impedância Entrada: 8 OHM, Resistência Ôhmica: 8 OHM, Sensibilidade: 94 DB, Potência Nominal: 20 WRMS,",Unidade,49.641.888/0001-30 - DIOGO DIAS F. INFORMATICA LTDA,EON715,"4.480,0000",2
90013,2024,158127,30/09/2024,30/09/2025,54,480278 - Caixa acústica,"Potência: 20 W, Resposta Freqüência: 65 Hz A 20 Khz KHZ, Largura: 70 MM, Altura: 180 MM, Profundidade: 80 MM, Cor: Preta, Características Adicionais: Bluetooth, Usb, À Prova Dágua, Voltagem: 110/220 V, Material: Abs,",Unidade,46.476.518/0001-05 - SUNGRID INDUSTRIA COMERCIO DISTRIBUIDORA E SERVICOS LTDA,BLUETOOTH,"820,0000",5
90013,2024,158127,30/09/2024,30/09/2025,56,233424 - Caixa acústica,"Potência: 275 Watts Rms A 80 Ohms, Tamanho Alto-Falante: 8 POL, Resposta Freqüência: 64 Hz A 20 Khz, Características Adicionais: Frontal / 2 Vias / Sensibilidade De 95 Db.,",Unidade,11.142.525/0001-88 - CLEBER NASCIMENTO DA ROSA,PCX20000,"1.599,0000",2
90013,2024,158127,30/09/2024,30/09/2025,57,443524 - Filmadora portátil,"Tipo Zoom: Óptico / Digital, Amplitude Zoom Digital: Mínimo 350 X, Amplitude Zoom Ótico: Mínimo De 30 X, Tamanho Monitor: 2.7 POL, Sistema Gravação: Hd Interno, Características Adicionais: Saída Av/Hdmi/Usb 2.0/Vídeo Componente,Mínimo 80gb, Tipo: Digital, Resolução: 1920 X 1080 PX,",Unidade,32.699.271/0001-73 - TRC COMERCIO E SERVICOS LTDA,FILMADORA Sony PXW-Z,"21.000,0000",1
90013,2024,158127,30/09/2024,30/09/2025,58,302449 - Câmera fotográfica digital,"Tipo Foco: Ttl-Ct-Sir, Tipo Visor: Slr, Formato Gravação Imagem: Padrão Jpeg E Raw, Resolução Máxima: 3.456 X 2.304 MPX, Interface: Usb 2.0, Tipo Memória: Compact Flash I E Ii, Características Adicionais: Lente Efs18 - 55 Mm F/3.5-5.6., Resolução Mínima: 1.728 X 1.152 MPX, Tipo Monitor: Lcd Colorido, Alimentação Câmera: Bateria Lithium,",Unidade,32.699.271/0001-73 - TRC COMERCIO E SERVICOS LTDA,Canon EOS Rebel t7+,"2.550,0000",1
90013,2024,158127,30/09/2024,30/09/2025,70,391837 - Microfone,"Tipo: Lapela Sem Fio, Alimentação: Bateria De 9 V, Resposta Freqüência: 50hz A 20 KHZ, Características Adicionais: Display Led;1 Receptor, Alcance: 100 M, Relação Sinal / Ruido: 98 DB,",Unidade,18.047.657/0001-70 - ALESSANDRA B. TONIETTI INSTRUMENTOS MUSICAIS,BY-WM8 Pro-K2,"1.081,0000",2
90013,2024,158127,30/09/2024,30/09/2025,71,375290 - Microfone,"Tipo: De Mão, Resposta Freqüência: 55-18000 HZ, Tipo Receptor: Padrão Rack 19 Polegadas Com 2 Antenas, Características Adicionais: Uhf, Kit De Montagem, Alcance: Mínimo 100 M, Alimentação Externa Receptor: 110/220 V, Alimentação Receptor: 3 V, Aplicação: Auditório, Padrão: Polar Hipercardióide, Material: Corpo De Metal, Cor: Preta, Potência De Saída: Mínima 10 MW, Referência Fabricante: Beyerdinamic Ne 900d, Relação Sinal / Ruido: Menor Que 110 DB,",Unidade,14.553.228/0001-13 - INFRAEASY SOLUCOES LTDA,U-585,"500,0000",2
90013,2024,158127,30/09/2024,30/09/2025,73,600701 - Lente Para Câmera Fotográfica,"Abertura Máxima: F1.4, Tipo De Foco: Manual E Automático, Tipo Lente: Grande Ocular, Distância Focal: 35 Mm,",Unidade,04.932.770/0001-23 - KASA KOMPLETA COMERCIO E SERVICOS LTDA,EF-S 24MM F/2.8,"895,0000",1
90013,2024,158127,30/09/2024,30/09/2025,84,375369 - Microfone,"Microfone Tipo: De Mão Sem Fio , Frequência: Uhf 90 HZ, Aplicação: Auditório , Acessórios: Composto Por 1 Receptor Pgx4, 1 Transmissor De Mão , Referência Fabricante: Sistema Pgx24/Sm58",Unidade,04.932.770/0001-23 - KASA KOMPLETA COMERCIO E SERVICOS LTDA,BLX24 / SM58,"2.938,0000",1
90013,2024,158127,30/09/2024,30/09/2025,87,359741 - Microfone,"Tipo: Auricular, De Cabeça, Alimentação: Bateria De 9 V, Características Adicionais: Frequência Para Uso Simultâneo 243.400 Mhz 255.800, Impedância: 600 OHMS, Alcance: Até 50 Metros, Alimentação Externa Receptor: 110/220 V, Alimentação Receptor: 9 A 12 VDC, Cor: Preta,",Unidade,20.971.821/0001-82 - ESTACAO DA MUSICA LTDA,LM502HH,"383,0900",2
90013,2024,158127,30/09/2024,30/09/2025,93,338873 - Pedestal microfone,"Material Base Sustentação: Ferro, Tipo: Girafa, Formato Base: Redondo, Acabamento Superficial: Cromado, Tipo Haste: Seccionada, Comprimento Haste: 100 A 200 CM, Características Adicionais: P/ Dois Microfones;Regulagem P/Altura E Inclinação,",Unidade,11.142.525/0001-88 - CLEBER NASCIMENTO DA ROSA,PMV 01P,"95,0000",3
90013,2024,158127,30/09/2024,30/09/2025,94,367288 - Tripé,"Material: Alumínio Anodizado, Altura Máxima: 250 CM, Aplicação: Exposição Banner, Características Adicionais: Pé Dobrável/Altura Regulável/Base Tipo Tripé/Haste,",Unidade,28.254.793/0001-94 - R3 TECNOLOGIA LTDA,Porta Banner 2.2m,"85,0000",10
90013,2024,158127,30/09/2024,30/09/2025,96,255922 - Projetor multimídia,"Brilho: Mínimo 3000 Ansi LM, Voltagem: 100/240 V, Tipo Entrada: Vídeo/Microcomputador, Quantidade Entrada Rgb: 2 UN, Quantidade Entradas Vídeo: 1 UN, Tipo Zoom: Zoomfocomotorizado, Prazo Validade Lâmpada: 2.000 H, Peso: Máximo 10 Kg KG, Características Adicionais: Correção Vert/Hor, Sistemas Pal-M/N/Pal/Secam/Ntsc, Tipo Tecnologia: Lcd, Compatibilidade Resolução: Xga Ou Superior, Contraste Mínimo: 700:1,",Unidade,34.822.886/0001-70 - BRAVAR COMERCIO E SERVICOS LTDA,Epson W49 3800 Lúmen,"4.489,0000",15
90013,2024,158127,30/09/2024,30/09/2025,99,471011 - Televisor,"Tamanho Tela: 55 POL, Voltagem: Bivolt V, Características Adicionais: Smart Tv, 4 K, Wifi. Entradas Hdmi/Usb, Conversor, Tipo Tela: Led, Acessórios: Controle Remoto/Sleep Time/Vhf/Uhf E Tv A Cabo,",Unidade,65.149.197/0002-51 - REPREMIG REPRESENTACAO E COMERCIO DE MINAS GERAIS LTDA,55PUG7408/78,"1.928,0000",3
90013,2024,158127,30/09/2024,30/09/2025,100,475690 - Tela projeção,"Material Estrutura: Aço, Tipo Ajuste Tela: Retrátil, Tipo Acabamento: Pintura Eletrostática, Material: Tecido, Cor Acabamento: Preta, Tipo Fixação: Tripé, Altura: 1,80 M, Largura: 1,80 M, Características Adicionais: Estojo Em Aço,",Unidade,10.776.858/0001-04 - CINEFLEX INDUSTRIA DE PRODUTOS VISUAIS LTDA,NR-011,"449,0000",15
90013,2024,158127,30/09/2024,30/09/2025,103,429869 - Tripé,"Tripé Material: Aço Carbono , Altura Máxima: 2,10 M, Altura Mínima: 1,28 M, Capacidade: 60 KG, Aplicação: Caixa Acústica",Unidade,28.360.435/0001-66 - DKSA COMERCIAL LTDA,PA110,"159,0000",2
90013,2024,158127,30/09/2024,30/09/2025,104,271849 - Tripé,"Altura Máxima: 1,68 M, Peso Cabeça: 3,1 KG, Aplicação: Câmera Vídeo Até 8 Kg, Características Adicionais: Cabeça Com Sistema Fluid Head, Manches Telescópi-,",Unidade,28.254.793/0001-94 - R3 TECNOLOGIA LTDA,Universal,"87,0000",5
