numCompra,anoCompra,uasg,iniVigencia,fimVigencia,numItem,descBreve,descDetalhada,unFornecimento,fornecedor,marca,valor,qtdUnidade
0062,2023,158127,02/10/2024,02/10/2025,3,252073 - Balança eletrônica,"Capacidade Pesagem: 300 KG, Voltagem: 110/220 V, Características Adicionais: Plataforma Em Chapa De Aço Pintado, Tipo: Digital, Número Dígitos: 6, Dimensões: 40 X 55 CM,",Unidade,45.827.291/0001-24 - PRECISO EQUIPAMENTOS PARA LABORATORIO LTDA,LS300 50x50,"895,0000",1
0062,2023,158127,02/10/2024,02/10/2025,32,601800 - Equipamento multiuso cozinha,"Material Estrutura: Aço Inoxidável 430, Material Isolamento: Espuma Poliuretano Injetado, Quantidade Portas: 2 UN, Aplicação: Cozinha Industrial, Tipo Funcionamento: Refrigeração Por Placa Fria Nas Laterais, Voltagem: 220 V,",Unidade,49.233.193/0001-10 - ALFA COMERCIO DE MAQUINAS E EQUIPAMENTOS LTDA,PAP Refrigerado,"8.414,1900",1
0062,2023,158127,02/10/2024,02/10/2025,33,601210 - Equipamento multiuso cozinha,"Material Estrutura: Aço Inoxidável, Material Isolamento: Poliuretano, Quantidade Portas: 2 UN, Aplicação: Cozinha Industrial, Tipo Funcionamento: Aquecido, Voltagem: 220 V,",Unidade,49.673.898/0001-58 - CB ELETRO E INFORMATICA LTDA,PAP AQUECIDO,"4.294,0000",1
