numCompra,anoCompra,uasg,iniVigencia,fimVigencia,numItem,descBreve,descDetalhada,unFornecimento,fornecedor,marca,valor,qtdUnidade
00003,2023,158127,02/10/2023,02/10/2024,1,458192 - Aparelho ar condicionado,"Aparelho Ar Condicionado Capacidade Refrigeração: 12.000 BTU, Características Adicionais 1: Controle Remoto S/Fio, Inverter , Tipo: Split Hi Wall , Tensão: 220",Unidade,19.312.691/0001-97 - MP COMERCIO E SERVICO LTDA,ELGIN,"1.767,2500",10
00003,2023,158127,02/10/2023,02/10/2024,2,461900 - Aparelho ar condicionado,"Capacidade Refrigeração: 18.000 BTU/H, Modelo: Split Inverter, Características Adicionais 1: Com Controle Remoto, Tipo: Bi Split, Tensão: 220 V,",Unidade,19.312.691/0001-97 - MP COMERCIO E SERVICO LTDA,ELGIN,"2.989,0000",8
00003,2023,158127,02/10/2023,02/10/2024,3,239607 - Aparelho ar condicionado,"Capacidade Refrigeração: 24.000 BTU/H, Tipo: Split Cassete, Características Adicionais: Controle Remoto / Ciclo Reverso (Quente/Frio) / Ga, Tensão: 110/220 V,",Unidade,19.312.691/0001-97 - MP COMERCIO E SERVICO LTDA,ELGIN,"3.499,0000",2
00003,2023,158127,02/10/2023,02/10/2024,4,463213 - Aparelho ar condicionado,"Aparelho Ar Condicionado Capacidade Refrigeração: 30.000 BTU, Modelo: Split Inverter , Garantia: 1 ANO, Características Adicionais 1: Controle Remoto S/Fio, Quente/Frio, Selo Procel , Tipo: Split , Tensão: 220",Unidade,13.482.516/0001-61 - SUPERAR LTDA,TCL,"4.700,0000",12
00003,2023,158127,02/10/2023,02/10/2024,5,260430 - Aparelho ar condicionado,"Capacidade Refrigeração: 48.000 BTU/H, Tipo: Split, Características Adicionais: 1 Evaporadora/1 Condensadora; Contr. Remoto S/Fio, Freqüência: 60 HZ, Tensão: 220 V, Quantidade Fases: 3 UN,",Unidade,33.486.276/0001-80 - JEB COMERCIO DE ELETRONICOS LTDA,ELGIN,"8.494,0000",2
00003,2023,158127,02/10/2023,02/10/2024,7,"344181 - Aspirador pó,líquido","Material: Plástico Alta Resistência, Potência Aspirador: Mínima 1.600 W, Aplicação: Pisos E Estofados, Características Adicionais: Filtro Hepa, Rodas, Tubos Prolongadores, Bocais, Capacidade Tanque: Mínima 1,5 L, Voltagem: 220 V,",Unidade,23.099.414/0001-15 - REIS DISTRIBUIDORA E SERVICOS LTDA,WAP,"571,0000",1
00003,2023,158127,02/10/2023,02/10/2024,12,463069 - Bebedouro água garrafão,"Material: Plástico, Capacidade: 20 L, Cor: Branca, Tipo: Elétrico De Mesa, Características Adicionais: 2 Torneiras Desmontáveis Água Natural/Gelada, Voltagem: 110/220 V,",Unidade,23.099.414/0001-15 - REIS DISTRIBUIDORA E SERVICOS LTDA,EOS,"290,0000",5
00003,2023,158127,02/10/2023,02/10/2024,13,364223 - Cafeteira elétrica,"Material: Plástico Resistente, Aplicação: Residencial, Capacidade: 26 Cafés, Características Adicionais: Placa Aquecedora/Filtro Removível/Corta Pingo/Níve, Voltagem: 220 V,",Unidade,45.769.285/0001-68 - REDNOV FERRAMENTAS LTDA.,BRITANIA,"202,7700",4
00003,2023,158127,11/10/2023,11/10/2024,14,449885 - Climatizador,"Tipo: Evaporativo, Tensão Alimentação: 220 V, Potência: 460 W, Tipo Motor: Monofásico, Características Adicionais: Fornecimento De Água Ligado À Rede Hidráulica, Vazão Ar: 7.000 M3/H,",Unidade,36.832.659/0001-51 - JM COMERCIO DE CLIMATIZADORES LTDA,CLIMATTIZE,"3.677,0000",1
00003,2023,158127,02/10/2023,02/10/2024,15,448184 - Cortina ar,"Cortina Ar Material: Metal E Plástico , Aplicação: Fluxo Laminar , Comprimento: 120 CM, Potência: 240 W, Tensão: 220",Unidade,39.253.431/0001-03 - 39.253.431 NEDA LOPES DUARTE,EOS,"544,4400",8
00003,2023,158127,02/10/2023,02/10/2024,16,453299 - Cortina ar,"Material: Metal E Plástico, Vazão: 2.400 M3, Comprimento: 150 CM, Potência: 280 W, Tensão: 220 V,",Unidade,45.329.312/0001-81 - BT COMERCIO INTELIGENTE LTDA,KOMECO,"773,5400",9
00003,2023,158127,02/10/2023,02/10/2024,17,425654 - Cortina ar,"Material: Metal E Plástico, Potência: 180 W, Tensão: 220 V,",Unidade,39.253.431/0001-03 - 39.253.431 NEDA LOPES DUARTE,EOS,"507,8800",5
00003,2023,158127,02/10/2023,02/10/2024,21,292561 - Forno elétrico,"Altura: 40 CM, Material Interno: Aço Inoxidável, Aplicação: Doméstica, Capacidade: 46 L, Cor: Branco, Largura: 49 CM, Características Adicionais: Chave Controle Das Resistências Superiores E Infe-, Profundidade: 49 CM, Potência: 1.750 W, Voltagem: 220 V,",Unidade,24.183.988/0001-30 - M FELIPE GALVAO LTDA,PHILCO,"660,0000",2
00003,2023,158127,02/10/2023,02/10/2024,23,473582 - Forno microondas,"Capacidade: 32 L, Características Adicionais: Alarme Sonoro, Potência: 900 W, Voltagem: 220 V,",Unidade,13.482.516/0001-61 - SUPERAR LTDA,MIDEA,"690,0000",1
00003,2023,158127,02/10/2023,02/10/2024,24,283573 - Forno microondas,"Material: Aço Inoxidável, Capacidade: 20 L, Comprimento: 486 MM, Largura: 282 MM, Altura: 359 MM, Potência: 800 W, Voltagem: 220 V, Características Adicionais: Timer, Trava De Segurança, Cor: Branca, Peso: 12,5 KG,",Unidade,43.684.445/0001-40 - CH3 COMERCIO E NEGOCIOS LTDA,MIDEA,"580,0000",1
