numCompra,anoCompra,uasg,iniVigencia,fimVigencia,numItem,descBreve,descDetalhada,unFornecimento,fornecedor,marca,valor,qtdUnidade
90056,2024,158127,21/03/2025,21/03/2026,47,387991 - Glufosinato,"Glufosinato Composição Básica: Sal De Amônio , Concentração: 20% P/V , Forma Física: Concentrado Solúvel , Número De Referência Química: Cas 51276-47-2",Litro,50.630.988/0001-40 - AGRO ZAIDAN COMERCIAL LTDA,Litro,"20,5900",40
90056,2024,158127,21/03/2025,21/03/2026,48,379963 - Glifosato,"Glifosato Concentração: 48% P/V , Apresentação: Concentrado Solúvel , Número De Referência Química: 1071-83-6",Litro,50.630.988/0001-40 - AGRO ZAIDAN COMERCIAL LTDA,Litro,"21,5900",40
90056,2024,158127,21/03/2025,21/03/2026,102,388005 - Sulfluramida,"Sulfluramida Concentração: 0,3% P/P , Apresentação: Isca Granulada , Número De Referência Química: Cas 4151-50-2",Quilograma,11.258.338/0001-64 - MERCOSUL AGRONEGOCIOS LTDA,DIPIL,"13,4900",12
90056,2024,158127,21/03/2025,21/03/2026,154,373774 - Fitilho,"Fitilho Cor: Verde , Material: Polietileno E Polipropileno , Tipo: Fio 04/20",Unidade,94.780.178/0001-46 - AGROFORTE COMERCIAL AGROPECUARIA LTDA,Fitilho cor verde po,"22,4000",1
90056,2024,158127,21/03/2025,21/03/2026,159,322025 - Tela,"Tela Material: Polietileno , Largura: 3 M, Aplicação: Proteção Viveiro Plantas , Características Adicionais: Polysombra 50%","Rolo 100,00 M",15.328.247/0001-09 - B.V. EQUIPAMENTOS DE PROTECAO LTDA,TELA,"520,0000",1
90056,2024,158127,21/03/2025,21/03/2026,164,606071 - Muda de planta,"Muda De Planta Tipo: Frutífera , Espécie: Laranja Pera Clone D6 , Altura: 60 C",Unidade,94.780.178/0001-46 - AGROFORTE COMERCIAL AGROPECUARIA LTDA,Muda de laranjeira v,"26,0000",10
90056,2024,158127,21/03/2025,21/03/2026,169,605603 - Muda de planta,"Muda De Planta Tipo: Frutífera , Espécie: Musa Spp , Altura: 30 C",Unidade,94.780.178/0001-46 - AGROFORTE COMERCIAL AGROPECUARIA LTDA,Muda laranja raiz co,"23,9900",10
90056,2024,158127,21/03/2025,21/03/2026,172,605603 - Muda de planta,"Muda De Planta Tipo: Frutífera , Espécie: Musa Spp , Altura: 30 C",Unidade,94.780.178/0001-46 - AGROFORTE COMERCIAL AGROPECUARIA LTDA,Muda tangerina Pokan,"37,5000",10
